Date,DailyCases,CumulativeCases,Deaths
20200228,1,1,0
20200229,0,1,0
20200301,2,3,0
20200302,1,4,0
20200303,3,7,0
20200304,6,13,0
20200305,2,15,0
20200306,6,21,0
20200307,6,27,0
20200308,3,30,0
20200309,16,46,0
20200310,21,67,0
20200311,25,92,0
20200312,38,130,1
20200313,48,178,1
20200314,19,197,3
20200315,12,209,3
20200316,21,230,4
20200317,43,273,6
20200318,41,314,6
20200319,50,364,9
20200320,84,448,14
20200321,67,515,20
20200322,74,589,25
20200323,138,727,29
20200324,167,894,36
20200325,188,1082,47
20200326,223,1305,59
20200327,274,1579,70
20200328,204,1783,99
20200329,197,1980,119
20200330,317,2297,149
20200331,341,2638,187
20200401,389,3027,233
20200402,351,3378,269
20200403,381,3759,327
20200404,261,4020,355
20200405,225,4245,402
20200406,404,4649,465
20200407,352,5001,514
20200408,343,5344,568
20200409,304,5648,634
20200410,329,5977,692
20200411,185,6162,742
20200412,220,6382,790
20200413,359,6741,831
20200414,346,7087,882
20200415,331,7418,924
20200416,428,7846,967
20200417,394,8240,1005
20200418,264,8504,1057
20200419,159,8663,1103
20200420,348,9011,1164
20200421,400,9411,1215
20200422,340,9751,1261
20200423,314,10065,1310
20200424,306,10371,1348
20200425,184,10555,1396
20200426,171,10726,1439
20200427,434,11160,1499
20200428,383,11543,1539
20200429,431,11974,1577
20200430,337,12311,1620
20200501,375,12686,1668
20200502,222,12908,1712
20200503,188,13096,1749
20200504,329,13425,1789
20200505,288,13713,1839
20200506,307,14020,1882
20200507,297,14317,1922
20200508,258,14575,1956
20200509,180,14755,1990
20200510,153,14908,2018
20200511,265,15173,2050
20200512,230,15403,2081
20200513,198,15601,2123
20200514,211,15812,2158
20200515,151,15963,2184
20200516,103,16066,2213
20200517,93,16159,2239
20200518,141,16300,2262
20200519,182,16482,2290
20200520,121,16603,2312
20200521,111,16714,2336
20200522,91,16805,2353
20200523,50,16855,2364
20200524,53,16908,2372
20200525,96,17004,2386
20200526,478,17482,2400
20200527,66,17548,2416
20200528,55,17603,2432
20200529,30,17633,2443
20200530,40,17673,2449
20200531,23,17696,2455
20200601,38,17734,2458
20200602,46,17780,2464
20200603,34,17814,2472
20200604,35,17849,2473
20200605,24,17873,2482
20200606,22,17895,2485
20200607,17,17912,2492
20200608,18,17930,2498
20200609,27,17957,2499
20200610,29,17986,2504
20200611,21,18007,2506
20200612,30,18037,2508
20200613,22,18059,2511
20200614,13,18072,2515
20200615,21,18093,2518
20200616,17,18110,2524
20200617,33,18143,2527
20200618,14,18157,2530
20200619,24,18181,2530
20200620,6,18187,2533
20200621,9,18196,2535
20200622,10,18206,2538
20200623,20,18226,2539
20200624,8,18234,2540
20200625,19,18253,2540
20200626,6,18259,2540
20200627,4,18263,2544
20200628,3,18266,2545
20200629,14,18280,2546
20200630,8,18288,2546
20200701,11,18299,2546
20200702,13,18312,2546
20200703,6,18318,2547
20200704,5,18323,2547
20200705,2,18325,2548
20200706,8,18333,2548
20200707,11,18344,2548
20200708,10,18354,2548
20200709,8,18362,2548
20200710,12,18374,2548
20200711,9,18383,2548
20200712,2,18385,2548
20200713,18,18403,2548
20200714,10,18413,2548
20200715,16,18429,2548
20200716,21,18450,2548
20200717,8,18458,2548
20200718,13,18471,2548
20200719,17,18488,2548
20200720,13,18501,2548
20200721,19,18520,2548
20200722,16,18536,2548
20200723,23,18559,2548
20200724,11,18570,2548
20200725,3,18573,2549
20200726,7,18580,2549
20200727,13,18593,2549
20200728,22,18615,2549
20200729,28,18643,2549
20200730,27,18670,2549
20200731,21,18691,2549
20200801,22,18713,2549
20200802,19,18732,2549
20200803,60,18792,2549
20200804,57,18849,2549
20200805,64,18913,2549
20200806,62,18975,2549
20200807,46,19021,2549
20200808,27,19048,2549
20200809,26,19074,2549
20200810,57,19131,2549
20200811,64,19195,2549
20200812,48,19243,2549
20200813,52,19295,2549
20200814,50,19345,2549
20200815,20,19365,2549
20200816,30,19395,2549
20200817,72,19467,2549
20200818,77,19544,2549
20200819,91,19635,2550
20200820,140,19775,2550
20200821,90,19865,2550
20200822,47,19912,2551
20200823,65,19977,2552
20200824,60,20037,2552
20200825,69,20106,2552
20200826,97,20203,2552
20200827,99,20302,2552
20200828,104,20406,2553
20200829,95,20501,2553
20200830,102,20603,2553
20200831,144,20747,2553
20200901,199,20946,2553
20200902,191,21137,2554
20200903,201,21338,2555
20200904,171,21509,2556
20200905,136,21645,2556
20200906,153,21798,2556
20200907,167,21965,2556
20200908,102,22067,2556
20200909,222,22289,2556
20200910,216,22505,2556
20200911,209,22714,2556
20200912,207,22921,2556
20200913,166,23087,2557
20200914,177,23264,2560
20200915,227,23491,2560
20200916,268,23759,2560
20200917,254,24013,2561
20200918,269,24282,2563
20200919,232,24514,2563
20200920,315,24829,2566
20200921,454,25283,2568
20200922,493,25776,2570
20200923,567,26343,2572
20200924,715,27058,2574
20200925,578,27636,2575
20200926,434,28070,2577
20200927,358,28428,2579
20200928,623,29051,2582
20200929,659,29710,2583
20200930,794,30504,2587
20201001,778,31282,2592
20201002,817,32099,2593
20201003,695,32794,2596
20201004,742,33536,2599
20201005,1099,34635,2601
20201006,1190,35825,2605
20201007,1253,37078,2614
20201008,1169,38247,2625
20201009,1093,39340,2631
20201010,941,40281,2642
20201011,959,41240,2653
20201012,1354,42594,2661
20201013,1421,44015,2673
20201014,1292,45307,2679
20201015,1292,46599,2695
20201016,1252,47851,2715
20201017,855,48706,2725
20201018,833,49539,2747
20201019,1359,50898,2763
20201020,1690,52588,2782
20201021,1579,54167,2793
20201022,1491,55658,2810
20201023,1280,56938,2828
20201024,953,57891,2848
20201025,939,58830,2871
20201026,1345,60175,2902
20201027,1305,61480,2918
20201028,1266,62746,2947
20201029,1098,63844,2976
20201030,1088,64932,3011
20201031,742,65674,3035
20201101,969,66643,3070
20201102,1474,68117,3100
20201103,1392,69509,3135
20201104,1301,70810,3154
20201105,1295,72105,3195
20201106,1134,73239,3222
20201107,842,74081,3259
20201108,873,74954,3295
20201109,1296,76250,3337
20201110,1287,77537,3373
20201111,1247,78784,3410
20201112,1195,79979,3442
20201113,1054,81033,3480
20201114,903,81936,3521
20201115,817,82753,3555
20201116,1277,84030,3588
20201117,1225,85255,3624
20201118,1113,86368,3648
20201119,984,87352,3673
20201120,860,88212,3702
20201121,764,88976,3735
20201122,709,89685,3771
20201123,1156,90841,3802
20201124,994,91835,3832
20201125,932,92767,3864
20201126,804,93571,3887
20201127,738,94309,3911
20201128,572,94881,3952
20201129,558,95439,3980
20201130,973,96412,4012
20201201,932,97344,4039
20201202,951,98295,4059
20201203,805,99100,4095
20201204,649,99749,4124
20201205,666,100415,4143
20201206,643,101058,4172
20201207,955,102013,4201
20201208,1046,103059,4229
20201209,1008,104067,4252
20201210,902,104969,4275
20201211,872,105841,4295
20201212,681,106522,4318
20201213,719,107241,4344
20201214,1081,108322,4375
20201215,1030,109352,4407
20201216,1028,110380,4438
20201217,909,111289,4474
20201218,920,112209,4497
20201219,748,112957,4524
20201220,812,113769,4553
20201221,1304,115073,4578
20201222,1327,116400,4606
20201223,1311,117711,4641
20201224,1017,118728,4677
20201225,515,119243,4712
20201226,1050,120293,4746
20201227,1681,121974,4780
20201228,1804,123778,4811
20201229,3130,126908,4837
20201230,2963,129871,4869
20201231,2374,132245,4913
20210101,1159,133404,4948
20210102,2211,135615,4990
20210103,2218,137833,5032
20210104,2375,140208,5069
20210105,3050,143258,5109
20210106,2543,145801,5157
20210107,2196,147997,5201
20210108,1823,149820,5243
20210109,1497,151317,5281
20210110,1423,152740,5340
20210111,2088,154828,5388
20210112,1977,156805,5439
20210113,1712,158517,5490
20210114,1620,160137,5548
20210115,1535,161672,5606
20210116,1176,162848,5682
20210117,1199,164047,5725
20210118,1735,165782,5788
20210119,1546,167328,5858
20210120,1572,168900,5924
20210121,1240,170140,5981
20210122,1228,171368,6049
20210123,936,172304,6102
20210124,857,173161,6172
20210125,1318,174479,6224
20210126,1177,175656,6274
20210127,1112,176768,6335
20210128,1113,177881,6381
20210129,961,178842,6440
20210130,779,179621,6484
20210131,808,180429,6532
20210201,1095,181524,6575
20210202,1049,182573,6619
20210203,930,183503,6667
20210204,899,184402,6699
20210205,935,185337,6743
20210206,706,186043,6794
20210207,654,186697,6836
20210208,991,187688,6876
20210209,758,188446,6925
20210210,843,189289,6962
20210211,842,190131,6997
20210212,901,191032,7038
20210213,542,191574,7070
20210214,681,192255,7102
20210215,963,193218,7136
20210216,912,194130,7162
20210217,825,194955,7190
20210218,878,195833,7225
20210219,890,196723,7269
20210220,659,197382,7296
20210221,609,197991,7316
20210222,787,198778,7338
20210223,693,199471,7354
20210224,699,200170,7372
20210225,628,200798,7392
20210226,522,201320,7408
20210227,414,201734,7427
20210228,426,202160,7436
20210301,547,202707,7456
20210302,518,203225,7468
20210303,495,203720,7479
20210304,558,204278,7493
20210305,465,204743,7501
20210306,479,205222,7511
20210307,433,205655,7521
20210308,588,206243,7536
20210309,653,206896,7546
20210310,622,207518,7551
20210311,662,208180,7559
20210312,584,208764,7565
20210313,464,209228,7569
20210314,443,209671,7576
20210315,688,210359,7577
20210316,572,210931,7588
20210317,597,211528,7596
20210318,552,212080,7599
20210319,542,212622,7605
20210320,458,213080,7610
20210321,463,213543,7614
20210322,680,214223,7617
20210323,603,214826,7620
20210324,541,215367,7624
20210325,573,215940,7631
20210326,474,216414,7636
20210327,386,216800,7641
20210328,357,217157,7646
20210329,514,217671,7651
20210330,394,218065,7653
20210331,394,218459,7654
20210401,413,218872,7655
20210402,353,219225,7657
20210403,280,219505,7659
20210404,254,219759,7660
20210405,293,220052,7664
20210406,356,220408,7666
20210407,282,220690,7668
20210408,282,220972,7670
20210409,266,221238,7672
20210410,227,221465,7675
20210411,212,221677,7677
20210412,260,221937,7677
20210413,261,222198,7677
20210414,212,222410,7680
20210415,198,222608,7682
20210416,222,222830,7683
20210417,202,223032,7684
20210418,175,223207,7684
20210419,264,223471,7685
20210420,242,223713,7686
20210421,237,223950,7689
20210422,231,224181,7689
20210423,188,224369,7691
20210424,150,224519,7691
20210425,109,224628,7693
20210426,195,224823,7695
20210427,195,225018,7696
20210428,193,225211,7697
20210429,174,225385,7697
20210430,172,225557,7697
20210501,126,225683,7697
20210502,121,225804,7698
20210503,162,225966,7698
20210504,196,226162,7698
20210505,222,226384,7698
20210506,218,226602,7698
20210507,203,226805,7698
20210508,185,226990,7698
20210509,210,227200,7698
20210510,329,227529,7698
20210511,283,227812,7698
20210512,298,228110,7700
20210513,314,228424,7700
20210514,291,228715,7700
20210515,228,228943,7700
20210516,231,229174,7700
20210517,361,229535,7701
20210518,417,229952,7701
20210519,409,230361,7701
20210520,381,230742,7701
20210521,360,231102,7701
20210522,291,231393,7702
20210523,324,231717,7703
20210524,496,232213,7703
20210525,504,232717,7703
20210526,628,233345,7704
20210527,552,233897,7705
20210528,548,234445,7706
20210529,435,234880,7708
20210530,486,235366,7709
20210531,601,235967,7709
20210601,773,236740,7709
20210602,959,237699,7710
20210603,949,238648,7712
20210604,822,239470,7713
20210605,606,240076,7713
20210606,677,240753,7714
20210607,953,241706,7715
20210608,1026,242732,7715
20210609,1056,243788,7717
20210610,1040,244828,7719
20210611,865,245693,7719
20210612,706,246399,7719
20210613,855,247254,7722
20210614,1130,248384,7723
20210615,1279,249663,7729
20210616,1265,250928,7730
20210617,1164,252092,7731
20210618,1231,253323,7734
20210619,997,254320,7736
20210620,1548,255868,7739
20210621,3019,258887,7741
20210622,3243,262130,7745
20210623,2891,265021,7746
20210624,2947,267968,7748
20210625,2619,270587,7749
20210626,2292,272879,7757
20210627,2511,275390,7760
20210628,3922,279312,7763
20210629,3873,283185,7766
20210630,3907,287092,7767
20210701,3429,290521,7769
20210702,3079,293600,7771
20210703,2509,296109,7775
20210704,2407,298516,7781
20210705,3378,301894,7786
20210706,3091,304985,7799
20210707,2896,307881,7804
20210708,2729,310610,7816
20210709,2382,312992,7823
20210710,1812,314804,7831
20210711,1881,316685,7837
20210712,2577,319262,7844
20210713,2444,321706,7853
20210714,2194,323900,7861
20210715,1963,325863,7868
20210716,1749,327612,7873
20210717,1400,329012,7880
20210718,1385,330397,7888
20210719,1908,332305,7897
20210720,1598,333903,7903
20210721,1573,335476,7911
20210722,1378,336854,7920
20210723,1277,338131,7927
20210724,954,339085,7930
20210725,942,340027,7935
20210726,1372,341399,7942
20210727,1353,342752,7950
20210728,1286,344038,7959
20210729,1171,345209,7965
20210730,1034,346243,7972
20210731,769,347012,7978
20210801,873,347885,7988
20210802,1322,349207,7995
20210803,1366,350573,7998
20210804,1293,351866,8004
20210805,1330,353196,8011
20210806,1256,354452,8018
20210807,941,355393,8024
20210808,1040,356433,8030
20210809,1489,357922,8036
20210810,1518,359440,8041
20210811,1567,361007,8044
20210812,1391,362398,8048
20210813,1523,363921,8058
20210814,1471,365392,8064
20210815,1628,367020,8070
20210816,2746,369766,8073
20210817,3362,373128,8077
20210818,3704,376832,8084
20210819,3711,380543,8091
20210820,3421,383964,8098
20210821,3030,386994,8103
20210822,3646,390640,8107
20210823,5518,396158,8114
20210824,5597,401755,8118
20210825,6823,408578,8123
20210826,7223,415801,8128
20210827,6020,421821,8138
20210828,4736,426557,8146
20210829,4431,430988,8154
20210830,6519,437507,8160
20210831,6957,444464,8170
20210901,7491,451955,8178
20210902,7526,459481,8189
20210903,6130,465611,8200
20210904,4986,470597,8210
20210905,4900,475497,8227
20210906,7086,482583,8237
20210907,6658,489241,8255
20210908,6209,495450,8265
20210909,5516,500966,8282
20210910,4757,505723,8307
20210911,3616,509339,8328
20210912,3353,512692,8350
20210913,5053,517745,8371
20210914,4745,522490,8391
20210915,4050,526540,8414
20210916,3556,530096,8430
20210917,3353,533449,8454
20210918,2604,536053,8475
20210919,2781,538834,8503
20210920,3991,542825,8523
20210921,3780,546605,8544
20210922,3488,550093,8575
20210923,3096,553189,8594
20210924,2698,555887,8616
20210925,2125,558012,8637
20210926,2135,560147,8657
20210927,3112,563259,8681
20210928,3175,566434,8697
20210929,2586,569020,8722
20210930,2361,571381,8738
20211001,2040,573421,8757
20211002,1860,575281,8780
20211003,1979,577260,8795
20211004,2945,580205,8809
20211005,2831,583036,8832
20211006,2638,585674,8845
20211007,2593,588267,8864
20211008,2279,590546,8878
20211009,2129,592675,8895
20211010,1879,594554,8909
20211011,2813,597367,8931
20211012,2621,599988,8947
20211013,2631,602619,8966
20211014,2673,605292,8986
20211015,2568,607860,9002
20211016,2149,610009,9020
20211017,2299,612308,9035
20211018,2950,615258,9050
20211019,2764,618022,9059
20211020,2840,620862,9075
20211021,2536,623398,9097
20211022,2444,625842,9113
20211023,2132,627974,9136
20211024,2319,630293,9157
20211025,3296,633589,9165
20211026,2916,636505,9184
20211027,2651,639156,9198
20211028,2497,641653,9218
20211029,2547,644200,9237
20211030,2029,646229,9253
20211031,2071,648300,9269
20211101,3299,651599,9296
20211102,3046,654645,9309
20211103,2983,657628,9325
20211104,2797,660425,9347
20211105,2781,663206,9364
20211106,2225,665431,9381
20211107,2301,667732,9393
20211108,3822,671554,9405
20211109,3456,675010,9411
20211110,3295,678305,9425
20211111,3216,681521,9433
20211112,2856,684377,9450
20211113,2321,686698,9460
20211114,2423,689121,9475
20211115,3642,692763,9494
20211116,3280,696043,9499
20211117,3318,699361,9511
20211118,2992,702353,9520
20211119,2785,705138,9529
20211120,2214,707352,9539
20211121,2175,709527,9548
20211122,3161,712688,9563
20211123,2882,715570,9575
20211124,2896,718466,9581
20211125,2492,720958,9591
20211126,2236,723194,9606
20211127,1884,725078,9619
20211128,2331,727409,9635
20211129,3457,730866,9646
20211130,3295,734161,9649
20211201,3094,737255,9663
20211202,2927,740182,9675
20211203,2641,742823,9682
20211204,2123,744946,9694
20211205,2485,747431,9702
20211206,3765,751196,9715
20211207,3720,754916,9733
20211208,4125,759041,9743
20211209,3963,763004,9752
20211210,3722,766726,9759
20211211,3232,769958,9767
20211212,3328,773286,9775
20211213,5601,778887,9780
20211214,6259,785146,9788
20211215,6844,791990,9794
20211216,6269,798259,9801
20211217,5600,803859,9807
20211218,4918,808777,9814
20211219,5273,814050,9820
20211220,8089,822139,9831
20211221,9735,831874,9840
20211222,10902,842776,9847
20211223,11325,854101,9852
20211224,8942,863043,9857
20211225,4517,867560,9865
20211226,6976,874536,9867
20211227,17293,891829,9876
20211228,18264,910093,9889
20211229,21425,931518,9898
20211230,20168,951686,9908
20211231,16158,967844,9917
20220101,6792,974636,9926
20220102,14299,988935,9933
20220103,17742,1006677,9940
20220104,17859,1024536,9959
20220105,18484,1043020,9969
20220106,10711,1053731,9988
20220107,6465,1060196,9998
20220108,4640,1064836,10012
20220109,4389,1069225,10030
20220110,6396,1075621,10048
20220111,5501,1081122,10062
20220112,4782,1085904,10078
20220113,4512,1090416,10108
20220114,3867,1094283,10126
20220115,3095,1097378,10149
20220116,3290,1100668,10169
20220117,5102,1105770,10187
20220118,4500,1110270,10203
20220119,4106,1114376,10226
20220120,3642,1118018,10242
20220121,3365,1121383,10263
20220122,2803,1124186,10274
20220123,2813,1126999,10291
20220124,4812,1131811,10308
20220125,4233,1136044,10324
20220126,3998,1140042,10338
20220127,3611,1143653,10354
20220128,3280,1146933,10370
20220129,2099,1149032,10383
20220130,2645,1151677,10391
20220131,4479,1156156,10399
20220201,3990,1160146,10406
20220202,3892,1164038,10407
20220203,832,1164870,10407
